registration_number,brand,model,year,mileage,fuel_type,transmission,engine_cc,owner_type,price
KL 93 TO 4046,Audi,A6,2013,120730.0,Petrol,Manual,2993.0,Second,4800.0
GJ 19 EP 6057,BMW,5 Series,2011,131320.0,Electric,Automatic,0.0,Third,3900.0
GJ 07 NL 4201,Audi,Q5,2019,82850.0,CNG,Manual,2497.0,First,13000.0
AP 43 FD 8443,BMW,5 Series,2012,163488.0,Electric,Automatic,0.0,Third,3600.0
TS 95 MG 7558,Toyota,Highlander,2017,158350.0,Diesel,Automatic,2755.0,Second,3900.0
WB 75 YL 1719,Ford,Mustang,2021,42926.0,CNG,Manual,3198.0,Second,12400.0
DL 03 FI 2657,Toyota,Corolla,2016,110285.0,Hybrid,Manual,1799.0,Third,4200.0
TS 48 VF 9633,Toyota,Innova,2014,145620.0,Petrol,Automatic,1497.0,Second,2800.0
TS 77 NU 5006,Audi,Q7,2012,133119.0,Diesel,Manual,3982.0,Second,4300.0
HR 17 QS 9011,Toyota,Fortuner,2016,167620.0,Diesel,Automatic,2198.0,Second,3300.0
MH 42 WL 9609,BMW,3 Series,2025,19369.0,Diesel,Automatic,3982.0,Third,38100.0
DL 58 HM 4581,Tesla,Model Y,2025,16062.0,Electric,Manual,0.0,Second,34300.0
HR 57 QL 4771,Mercedes,GLE,2022,59596.0,Hybrid,Automatic,2497.0,First,24800.0
KL 41 IM 1404,Audi,A4,2024,28590.0,Electric,Automatic,0.0,Fourth & Above,30000.0
KA 16 CL 1627,Ford,EcoSport,2017,97209.0,Petrol,Automatic,1497.0,First,6800.0
MH 97 WX 9898,Maruti,Baleno,2020,62115.0,Hybrid,Automatic,1999.0,Second,5300.0
GJ 98 EM 4728,Mercedes,C-Class,2019,78115.0,Electric,Automatic,0.0,First,14400.0
TS 25 NY 7843,BMW,5 Series,2025,13685.0,CNG,Automatic,2993.0,Fourth & Above,42000.0
WB 46 KH 7867,BMW,X5,2024,34179.0,Diesel,Manual,1998.0,Third,31600.0
UP 78 SM 7247,Tata,Altroz,2019,79918.0,Petrol,Manual,1497.0,Second,6100.0
KA 87 RF 1525,BMW,X5,2012,188582.0,Petrol,Automatic,2993.0,Fourth & Above,2700.0
WB 68 CO 1941,Tesla,Model S,2025,10064.0,Electric,Automatic,0.0,Second,35200.0
MH 69 NP 2126,Hyundai,i20,2010,159930.0,Electric,Automatic,0.0,Second,2500.0
GJ 92 VO 5512,Tata,Harrier,2014,202692.0,Electric,Manual,0.0,Third,2500.0
UP 06 XC 5717,BMW,3 Series,2014,153786.0,CNG,Manual,3982.0,Third,4800.0
UP 94 NO 7302,Volkswagen,Virtus,2021,78862.0,Hybrid,Automatic,1598.0,Second,7600.0
WB 09 WX 4559,Volkswagen,Jetta,2013,159944.0,Diesel,Manual,1999.0,Third,2500.0
DL 65 BO 1437,Mahindra,Bolero,2013,234697.0,Petrol,Automatic,1598.0,Fourth & Above,2500.0
MH 42 VX 8606,Honda,City,2022,48343.0,Diesel,Automatic,999.0,First,8600.0
MH 22 AT 2646,Mahindra,Bolero,2012,127184.0,Electric,Manual,0.0,Fourth & Above,2500.0
MH 28 WB 9721,Ford,F-150,2013,176068.0,Petrol,Manual,2755.0,Third,2500.0
TN 07 YM 4305,BMW,X5,2011,249721.0,Petrol,Automatic,3982.0,Third,2500.0
KA 29 DZ 3750,BMW,X3,2017,91062.0,Petrol,Manual,2497.0,Third,10700.0
GJ 51 ND 4807,Tesla,Model 3,2011,183782.0,Electric,Automatic,0.0,Second,2700.0
KA 85 IU 7045,BMW,3 Series,2021,57228.0,Hybrid,Manual,2497.0,Fourth & Above,19400.0
KA 77 KU 7366,Toyota,Camry,2016,125179.0,Electric,Manual,0.0,Second,3900.0
UP 58 MQ 4808,Volkswagen,Jetta,2020,62566.0,Hybrid,Automatic,1497.0,First,6600.0
DL 80 CB 3253,Maruti,Ertiga,2010,168682.0,Petrol,Automatic,1999.0,Second,2500.0
MH 36 KU 1648,Hyundai,Creta,2019,72643.0,Petrol,Manual,1999.0,Fourth & Above,6600.0
WB 32 ZV 4644,Maruti,Dzire,2019,110454.0,Hybrid,Automatic,1197.0,Second,3700.0
MH 27 EC 3845,Audi,Q7,2020,62531.0,Petrol,Automatic,2497.0,First,14000.0
DL 55 FT 5079,Audi,A6,2017,120373.0,Electric,Automatic,0.0,Second,8900.0
MH 61 ON 9278,Mercedes,GLC,2024,37160.0,Electric,Manual,0.0,Third,31600.0
HR 77 RE 3878,Audi,Q7,2014,198526.0,Petrol,Automatic,1998.0,Fourth & Above,4100.0
KL 26 EG 1068,Mercedes,GLE,2024,24249.0,CNG,Automatic,2993.0,First,30400.0
WB 76 CN 1636,Toyota,Fortuner,2021,69275.0,Electric,Automatic,0.0,Fourth & Above,10500.0
TN 84 MN 5043,Honda,City,2015,112110.0,Hybrid,Automatic,1999.0,Fourth & Above,3000.0
MH 33 HT 3644,BMW,X5,2011,260665.0,Petrol,Manual,3982.0,Third,3100.0
MH 55 IW 5951,Toyota,Camry,2012,206883.0,Electric,Manual,0.0,Second,2500.0
DL 96 MW 6047,Maruti,Ertiga,2022,59378.0,Petrol,Manual,1197.0,Third,6300.0
MH 23 LF 3200,Toyota,Corolla,2025,9295.0,Electric,Automatic,0.0,Third,23700.0
MH 98 GI 7697,BMW,X5,2015,144728.0,CNG,Manual,2497.0,Second,5100.0
DL 62 PV 2651,Mahindra,Thar,2015,98121.0,Petrol,Automatic,1497.0,First,3100.0
TN 49 TQ 5355,Toyota,Camry,2018,125172.0,CNG,Manual,1197.0,First,5500.0
AP 79 BL 6410,Mahindra,Bolero,2020,86608.0,Hybrid,Automatic,1497.0,Second,7600.0
DL 48 OT 8785,Honda,Civic,2024,36018.0,Diesel,Manual,1799.0,First,11800.0
TS 87 OH 8938,Maruti,Dzire,2016,83865.0,Hybrid,Manual,999.0,Third,3200.0
DL 92 EQ 9267,Tata,Tiago,2012,165523.0,Electric,Manual,0.0,Fourth & Above,2500.0
KL 85 RH 4987,Toyota,Corolla,2025,18173.0,CNG,Automatic,1598.0,Second,24400.0
DL 93 IV 8803,BMW,5 Series,2012,131739.0,Petrol,Manual,3982.0,Third,4700.0
UP 99 TC 6623,Volkswagen,Polo,2014,210262.0,Electric,Manual,0.0,Third,2500.0
UP 25 XD 7025,Tata,Altroz,2023,50147.0,Petrol,Automatic,999.0,First,10000.0
TS 87 ZE 9515,Ford,F-150,2022,56083.0,Petrol,Manual,4951.0,Fourth & Above,12900.0
HR 29 PV 8467,Volkswagen,Jetta,2013,158543.0,Electric,Automatic,0.0,Second,2500.0
UP 62 UG 9110,Ford,Endeavour,2019,69872.0,Petrol,Automatic,2198.0,Third,8200.0
AP 39 VF 1353,Mercedes,GLE,2011,269503.0,Diesel,Manual,2497.0,First,3100.0
HR 37 WG 9978,Maruti,Dzire,2020,76239.0,Hybrid,Automatic,999.0,Fourth & Above,4900.0
MH 57 WP 5769,Tata,Nexon,2014,138975.0,Petrol,Automatic,1999.0,Fourth & Above,2500.0
MH 49 NV 3756,Ford,Explorer,2016,162218.0,Petrol,Automatic,1999.0,First,3900.0
MH 81 XM 5014,Toyota,Camry,2021,90426.0,Petrol,Manual,1799.0,Third,9400.0
WB 85 CY 8596,Toyota,Camry,2017,109908.0,CNG,Manual,1999.0,Fourth & Above,6000.0
WB 86 QH 1377,Volkswagen,Virtus,2018,117367.0,Petrol,Manual,999.0,First,4100.0
AP 39 SE 2629,Audi,Q7,2018,120876.0,CNG,Manual,3982.0,Fourth & Above,10900.0
UP 69 WZ 3033,Hyundai,Elantra,2015,136389.0,Electric,Automatic,0.0,First,2600.0
UP 27 UF 2438,BMW,3 Series,2015,186601.0,Petrol,Automatic,1998.0,Third,3900.0
WB 01 HJ 1756,Maruti,Brezza,2011,,Hybrid,Automatic,1598.0,Second,2500.0
TN 31 BG 3321,Maruti,Brezza,2024,21758.0,Hybrid,Automatic,1999.0,Second,8800.0
HR 34 MU 3675,Mercedes,E-Class,2014,,Hybrid,Automatic,3982.0,Second,3900.0
WB 90 UG 7097,Tata,Altroz,2012,247969.0,Diesel,Manual,1999.0,First,2500.0
DL 10 ID 9707,Audi,A6,2023,50912.0,Electric,Automatic,0.0,First,28400.0
DL 36 AD 7179,Honda,Amaze,2023,29539.0,Hybrid,Automatic,,Third,12600.0
UP 37 RI 2623,BMW,X5,2013,207249.0,CNG,Automatic,1998.0,Fourth & Above,3500.0
TN 88 QW 3547,Toyota,Corolla,2020,107348.0,Hybrid,Automatic,1799.0,Fourth & Above,6900.0
KL 24 OL 8678,Volkswagen,Jetta,2014,145397.0,Petrol,Automatic,1999.0,Second,2500.0
TS 12 UC 2256,Maruti,Brezza,2018,143291.0,Diesel,Automatic,1497.0,First,2600.0
AP 87 QX 3235,Tesla,Model 3,2012,136345.0,,Automatic,0.0,First,4700.0
WB 68 VT 1693,Mahindra,Bolero,2013,160176.0,Petrol,Automatic,1197.0,Third,2500.0
MH 66 LB 7925,Audi,Q7,2015,166725.0,CNG,Manual,1998.0,Second,4600.0
HR 28 AX 7449,Mahindra,Bolero,2015,130514.0,Diesel,Manual,1497.0,Third,3000.0
KL 43 JL 2755,BMW,X3,2011,264882.0,Electric,Manual,0.0,Third,2500.0
GJ 20 ND 8985,Toyota,RAV4,2015,133262.0,Electric,Automatic,0.0,Second,3100.0
HR 14 OV 8198,Toyota,Corolla,2018,84669.0,Hybrid,Automatic,1197.0,Fourth & Above,6800.0
AP 54 XK 1517,Ford,Explorer,2021,78377.0,Diesel,Manual,1497.0,Second,9400.0
WB 92 EK 7551,Ford,Explorer,2025,22528.0,Petrol,Automatic,1799.0,Fourth & Above,22800.0
WB 31 BV 6605,Maruti,Dzire,2014,110599.0,Petrol,Manual,1497.0,Second,2500.0
MH 94 QF 5087,Tata,Tiago,2010,199650.0,,Manual,0.0,Fourth & Above,2500.0
KA 90 XQ 3968,Mercedes,C-Class,2018,145529.0,Electric,Manual,0.0,Fourth & Above,9400.0
UP 26 CB 7231,BMW,7 Series,2014,125055.0,Petrol,Automatic,2497.0,Second,5700.0
AP 83 BJ 2803,Tata,Tiago,2019,109931.0,Diesel,Automatic,1598.0,Fourth & Above,4500.0
TN 85 XK 4473,Mercedes,GLC,2018,143286.0,Diesel,Automatic,2497.0,First,7800.0
KA 13 VA 3134,Mercedes,GLE,2018,138081.0,Diesel,Automatic,2993.0,Fourth & Above,8900.0
UP 50 CD 3137,Hyundai,Tucson,2021,80502.0,CNG,Automatic,1999.0,Second,6800.0
GJ 80 KJ 8769,Volkswagen,Polo,2011,212632.0,Diesel,Manual,999.0,Fourth & Above,2500.0
KA 56 CP 7864,BMW,7 Series,2014,103024.0,CNG,Automatic,2993.0,Third,6400.0
DL 95 MP 9723,Maruti,Ertiga,2010,156806.0,Diesel,Automatic,1799.0,First,2500.0
MH 01 FS 4568,Maruti,Swift,2015,139189.0,CNG,Automatic,1799.0,Fourth & Above,2500.0
GJ 16 FH 1747,Audi,A4,2024,29958.0,Hybrid,Automatic,2993.0,Second,32600.0
DL 27 RD 1022,Maruti,Baleno,2019,60328.0,Hybrid,Manual,999.0,Third,4800.0
HR 42 BU 1170,Volkswagen,Tiguan,2021,61013.0,CNG,Automatic,1598.0,Second,9900.0
WB 82 TR 4377,Hyundai,Sonata,2018,83025.0,CNG,Manual,1999.0,Fourth & Above,4600.0
AP 48 EP 2535,Mahindra,XUV700,2020,67454.0,Electric,Manual,0.0,Fourth & Above,7300.0
MH 23 MV 4077,Mahindra,XUV700,2024,24149.0,Diesel,Automatic,3198.0,Second,13400.0
TN 78 DM 7291,Honda,Accord,2012,174515.0,Electric,Manual,0.0,Second,2500.0
WB 77 AZ 1153,Toyota,Camry,2010,253729.0,Petrol,Manual,999.0,Second,2500.0
KL 20 HB 9905,Honda,Amaze,2020,,Diesel,Automatic,1197.0,Fourth & Above,5400.0
AP 19 AH 1393,Tesla,Model Y,2013,107935.0,Electric,Automatic,0.0,First,5500.0
KA 29 DJ 6854,BMW,X5,2022,41516.0,Diesel,Automatic,3982.0,First,21400.0
TS 77 FV 7967,Honda,Amaze,2020,59794.0,Petrol,Manual,1197.0,Second,6700.0
KA 01 EY 3401,Ford,F-150,2019,81802.0,Electric,Automatic,0.0,Third,9100.0
HR 19 CK 3089,Hyundai,Sonata,2022,54055.0,Electric,Manual,0.0,First,9600.0
WB 32 MN 9144,Ford,EcoSport,2021,58661.0,Electric,Automatic,0.0,Second,13000.0
DL 90 CH 6926,Maruti,Ertiga,2025,17610.0,Electric,Manual,0.0,Fourth & Above,11700.0
MH 38 OE 7898,Toyota,Corolla,2010,188879.0,Diesel,Manual,1497.0,First,2500.0
KA 85 SC 8812,BMW,5 Series,2017,78579.0,Diesel,Automatic,3982.0,First,10300.0
MH 61 XE 9641,Audi,A6,2010,153066.0,Diesel,Manual,3982.0,First,2500.0
WB 05 TY 3843,Tesla,Model Y,2025,14464.0,Electric,Automatic,0.0,First,33800.0
AP 21 IC 9544,Maruti,Baleno,2010,,Electric,Automatic,0.0,Third,2500.0
KL 62 KU 7637,Tata,Harrier,2016,121264.0,Electric,Manual,0.0,First,3600.0
UP 43 AH 5623,Tata,Harrier,2011,244087.0,Diesel,Automatic,999.0,First,2500.0
KA 73 SB 8926,Ford,Endeavour,2013,115879.0,Hybrid,Manual,2198.0,Second,3000.0
AP 93 LE 2595,Toyota,Camry,2020,55827.0,Hybrid,Automatic,1799.0,Fourth & Above,8900.0
TN 38 FE 8587,Hyundai,Creta,2013,173383.0,Petrol,Automatic,1799.0,Fourth & Above,2500.0
TS 38 LT 8059,Honda,Civic,2017,155826.0,Diesel,Manual,1598.0,Third,3100.0
KL 13 ZA 3336,Toyota,Innova,2022,46552.0,CNG,Manual,1799.0,Second,13700.0
TS 46 CC 3935,Mercedes,S-Class,2012,184666.0,Diesel,Automatic,1998.0,Second,3000.0
KL 06 LJ 7568,Tesla,Model Y,2018,147805.0,Electric,Manual,0.0,First,9400.0
GJ 58 IV 1699,Tata,Tiago,2014,151949.0,,Automatic,999.0,Third,2500.0
AP 10 HM 8573,Audi,A4,2017,138220.0,Diesel,Manual,3982.0,Third,6700.0
KA 51 YN 4268,Volkswagen,Polo,2021,66863.0,,Manual,0.0,First,7800.0
KL 05 RE 8699,Tata,Safari,2012,161405.0,Electric,Manual,0.0,Fourth & Above,2500.0
KL 28 BG 1375,Ford,Explorer,2020,87043.0,Electric,Manual,0.0,Third,10000.0
KL 54 QG 5250,Volkswagen,Virtus,2018,85870.0,Diesel,Manual,1598.0,Third,4700.0
KL 61 RW 3632,Ford,Mustang,2012,240008.0,Hybrid,Manual,3198.0,Second,2500.0
UP 79 EK 6185,Tesla,Model Y,2021,88911.0,Electric,Manual,,First,17800.0
TN 58 EU 8361,Toyota,Corolla,2024,37674.0,Hybrid,Manual,,Fourth & Above,17700.0
DL 25 VS 1235,Volkswagen,Polo,2011,157709.0,Electric,Manual,,Fourth & Above,2500.0
TS 70 NQ 6502,Hyundai,Tucson,2010,178538.0,Petrol,Automatic,1598.0,Fourth & Above,2500.0
WB 89 VN 5640,Honda,Accord,2024,26275.0,CNG,Manual,1598.0,Fourth & Above,12200.0
AP 14 PX 9924,Tesla,Model S,2013,237620.0,Electric,Manual,0.0,First,3500.0
DL 61 DL 8601,Honda,City,2011,224563.0,Diesel,Manual,1799.0,Fourth & Above,2500.0
AP 87 HA 7792,Tata,Altroz,2010,282467.0,CNG,Automatic,1999.0,Third,2500.0
AP 31 RM 4156,Toyota,Camry,2010,155037.0,CNG,Automatic,1197.0,Third,2500.0
GJ 21 NH 2631,Audi,Q7,2011,243511.0,,Automatic,3982.0,Second,2900.0
KA 04 NA 3507,Tesla,Model 3,2013,190224.0,Electric,Manual,0.0,Third,3100.0
DL 39 GR 5018,Toyota,Fortuner,2012,193152.0,Diesel,Automatic,,Third,2500.0
UP 16 DE 5627,Tesla,Model Y,2018,118840.0,Electric,Manual,0.0,First,8600.0
AP 10 PU 2250,Mercedes,E-Class,2012,127211.0,Diesel,Automatic,3982.0,First,5000.0
MH 85 SU 1515,BMW,X5,2022,71122.0,Electric,Manual,0.0,Second,19800.0
KA 25 TA 9781,Honda,CR-V,2021,67651.0,CNG,Manual,1799.0,Second,8100.0
MH 35 IP 4264,Toyota,Fortuner,2014,124416.0,Diesel,Manual,2755.0,Third,3000.0
DL 88 WI 7436,Honda,CR-V,2019,92929.0,Electric,Automatic,0.0,Second,4800.0
HR 41 TD 7275,Honda,Amaze,2019,69419.0,,Automatic,0.0,Fourth & Above,5700.0
HR 76 NJ 9691,Tata,Harrier,2021,62228.0,Petrol,Automatic,999.0,Second,9500.0
DL 85 LL 3376,Hyundai,Creta,2010,150580.0,Electric,Manual,0.0,Third,2500.0
DL 72 CM 5646,Hyundai,Elantra,2010,180017.0,Hybrid,Manual,1799.0,Fourth & Above,2500.0
TS 26 GB 9092,Audi,A6,2016,92404.0,CNG,Manual,3982.0,Fourth & Above,8000.0
HR 03 UZ 1076,Mahindra,Thar,2018,99195.0,Diesel,Automatic,1197.0,Fourth & Above,5400.0
KL 13 ZN 5931,Mahindra,Scorpio,2014,199608.0,CNG,Manual,1999.0,Third,2500.0
KL 64 UD 7126,Mercedes,GLC,2021,63243.0,Hybrid,Automatic,3982.0,First,18800.0
KA 25 XZ 7043,Audi,A4,2010,168144.0,Diesel,Manual,3982.0,Third,2500.0
UP 49 IW 3790,Maruti,Swift,2011,163092.0,Petrol,Manual,999.0,Third,2500.0
DL 74 PV 9029,Ford,Endeavour,2024,20675.0,Diesel,Automatic,2198.0,Fourth & Above,20300.0
DL 89 CC 9103,Mercedes,GLC,2025,12313.0,Hybrid,Manual,2497.0,Third,42400.0
DL 76 YQ 9420,Toyota,Corolla,2010,238152.0,Electric,Manual,0.0,Fourth & Above,2500.0
KL 80 QG 7556,Hyundai,Tucson,2024,33497.0,Petrol,Manual,1497.0,Second,12600.0
KA 31 AO 4064,BMW,3 Series,2018,101592.0,CNG,Manual,3982.0,Second,12200.0
MH 51 QN 9321,Mercedes,C-Class,2025,17429.0,Hybrid,Manual,2993.0,First,39000.0
AP 23 TI 9676,Hyundai,Elantra,2024,22843.0,Electric,Automatic,0.0,Second,12800.0
TN 74 IH 2078,Audi,Q7,2023,28475.0,Diesel,Manual,1998.0,Second,23500.0
HR 64 GF 4335,Maruti,Swift,2018,,Electric,Automatic,0.0,Fourth & Above,3200.0
UP 62 XJ 4909,Hyundai,Verna,2019,107561.0,Petrol,Manual,1799.0,Second,5600.0
AP 43 AF 5322,Ford,F-150,2012,137658.0,Electric,Manual,0.0,First,2700.0
TN 03 SV 5762,Honda,Accord,2010,227918.0,CNG,Manual,1197.0,Fourth & Above,2500.0
TS 70 IV 8970,BMW,7 Series,2015,175150.0,Petrol,Automatic,3982.0,Third,4700.0
WB 03 EN 4608,Mercedes,GLC,2024,18681.0,Hybrid,Automatic,2993.0,First,36800.0
DL 49 UD 5487,Volkswagen,Jetta,2021,66869.0,Electric,Automatic,0.0,Second,9200.0
TN 75 QW 6624,Volkswagen,Virtus,2015,120900.0,Hybrid,Automatic,1497.0,Fourth & Above,2900.0
WB 19 OV 3461,Audi,A4,2023,51126.0,Hybrid,Automatic,1998.0,First,24900.0
UP 16 BP 6010,Maruti,Brezza,2015,123554.0,Hybrid,Manual,999.0,Fourth & Above,2500.0
GJ 86 YR 3540,Toyota,Highlander,2021,74015.0,Hybrid,Manual,3198.0,Third,11200.0
TS 32 ZV 7328,Honda,CR-V,2014,217296.0,CNG,Manual,1197.0,Third,2500.0
TS 75 EV 4268,Tata,Altroz,2013,224775.0,CNG,Automatic,1799.0,Second,2500.0
AP 13 EQ 8240,Mercedes,E-Class,2023,42832.0,Petrol,Automatic,2497.0,Fourth & Above,27000.0
GJ 04 YN 2448,Tesla,Model Y,2021,66129.0,Electric,Automatic,0.0,Fourth & Above,15900.0
AP 17 MV 1097,Ford,Endeavour,2019,114385.0,Hybrid,Manual,2198.0,Third,7600.0
TS 08 DX 9369,Mahindra,Bolero,2011,134779.0,Petrol,Automatic,1497.0,First,2500.0
WB 82 EJ 6093,Tesla,Model S,2011,228300.0,Electric,Automatic,0.0,Second,2500.0
KA 67 DH 4347,Tesla,Model 3,2025,16039.0,Electric,Manual,0.0,Second,38600.0
MH 31 RI 8194,Honda,City,2010,264011.0,Petrol,Manual,1598.0,Third,2500.0
GJ 26 PP 5751,Volkswagen,Polo,2023,29474.0,Diesel,Manual,1799.0,Second,13800.0
AP 19 AJ 8488,Mercedes,C-Class,2025,13774.0,Electric,Manual,0.0,Fourth & Above,39300.0
KL 93 OI 1149,Honda,Amaze,2022,34651.0,CNG,Automatic,1497.0,First,11200.0
TS 84 XS 6558,Ford,F-150,2016,118708.0,Electric,Manual,0.0,Second,4900.0
KL 78 VF 9306,Mahindra,XUV700,2018,130430.0,Electric,Manual,0.0,Fourth & Above,4300.0
MH 30 DV 2740,Volkswagen,Tiguan,2014,183087.0,CNG,Automatic,999.0,Fourth & Above,2500.0
AP 09 BT 5103,Mahindra,Bolero,2020,98519.0,Diesel,Manual,1999.0,Second,7700.0
AP 18 US 4272,Honda,Civic,2012,176311.0,Petrol,Manual,999.0,Third,2500.0
TN 81 VD 4334,BMW,X3,2025,14519.0,Diesel,Manual,2497.0,Fourth & Above,33700.0
WB 68 PG 4399,Toyota,Corolla,2010,188161.0,CNG,Manual,1197.0,Third,2500.0
KA 73 CE 9474,Audi,Q7,2021,62423.0,,Manual,3982.0,Fourth & Above,19100.0
HR 33 MW 6863,Mercedes,C-Class,2013,170038.0,CNG,Automatic,2497.0,First,4300.0
KA 75 PI 1491,Honda,Accord,2019,64535.0,CNG,Automatic,1799.0,Fourth & Above,5100.0
TS 97 VB 4860,Toyota,RAV4,2023,34164.0,Petrol,Manual,1799.0,Second,17200.0
HR 93 BD 1583,Mahindra,Thar,2011,173159.0,Electric,Manual,0.0,Fourth & Above,2500.0
DL 69 TM 1296,Mahindra,XUV700,2021,63789.0,Diesel,Manual,2198.0,First,9900.0
KL 16 TL 6763,Maruti,Dzire,2011,180577.0,Diesel,Automatic,1799.0,Fourth & Above,2500.0
GJ 73 BZ 1244,BMW,X3,2023,53494.0,Petrol,Manual,3982.0,Second,27700.0
UP 84 HJ 3125,Tesla,Model 3,2011,132998.0,Electric,Automatic,0.0,First,3500.0
TS 29 OW 5959,Audi,Q7,2025,18202.0,Petrol,Automatic,3982.0,Second,38600.0
AP 91 TP 5583,Hyundai,i20,2019,118804.0,Hybrid,Automatic,,First,4500.0
MH 05 HW 8213,Honda,Accord,2014,200055.0,Hybrid,Manual,1497.0,First,2500.0
KA 08 IT 7290,Volkswagen,Virtus,2013,111112.0,Hybrid,Automatic,1497.0,Fourth & Above,2800.0
TN 85 JB 9872,Mahindra,Thar,2022,48564.0,Diesel,Automatic,1999.0,Second,10800.0
UP 56 NZ 1935,Hyundai,Elantra,2020,107991.0,CNG,Manual,1497.0,First,6000.0
GJ 34 FM 8656,Honda,Amaze,2022,74828.0,Hybrid,Automatic,1799.0,Fourth & Above,8900.0
HR 44 SM 1632,Tesla,Model 3,2014,207048.0,Electric,Manual,0.0,Second,4200.0
TS 34 FO 8581,Audi,Q5,2021,55439.0,CNG,Manual,2993.0,First,19300.0
KA 36 TR 6145,Toyota,Highlander,2010,207493.0,Electric,Manual,0.0,Fourth & Above,2500.0
MH 80 UB 4812,Honda,City,2015,120527.0,Hybrid,Automatic,1197.0,Second,2800.0
TN 92 II 1264,Honda,Civic,2015,167730.0,CNG,Automatic,1799.0,First,2500.0
DL 42 SL 7815,Volkswagen,Tiguan,2011,212485.0,Petrol,Automatic,1799.0,First,2500.0
HR 80 AF 7034,Honda,City,2019,68321.0,Hybrid,Automatic,1999.0,Fourth & Above,5600.0
GJ 75 WL 4520,Toyota,RAV4,2014,206526.0,CNG,Manual,1799.0,Third,2500.0
UP 81 RX 7849,Tata,Tiago,2011,220159.0,Petrol,Manual,1799.0,Second,2500.0
UP 38 HK 4982,Maruti,Swift,2011,214702.0,CNG,Automatic,1497.0,Third,2500.0
GJ 65 CL 8932,Hyundai,Sonata,2024,27185.0,Diesel,Automatic,1497.0,Fourth & Above,11700.0
HR 44 KD 2335,Audi,A6,2024,33645.0,Diesel,Manual,2497.0,Fourth & Above,31200.0
AP 34 YR 8698,Tata,Altroz,2014,168651.0,Diesel,Manual,999.0,Fourth & Above,2500.0
GJ 50 NL 3088,Tesla,Model 3,2014,204670.0,Electric,Manual,0.0,First,3500.0
TS 58 NU 8368,Tata,Tiago,2017,137554.0,Hybrid,Manual,999.0,First,3700.0
UP 76 LV 8430,Tesla,Model Y,2019,112836.0,Electric,Manual,0.0,Second,12800.0
TN 73 QQ 9326,Tata,Safari,2024,23424.0,Hybrid,Manual,1497.0,Second,14200.0
UP 79 KD 6690,Tata,Safari,2020,75073.0,Diesel,Manual,1598.0,Second,7000.0
KA 30 VI 3310,Mercedes,E-Class,2013,144366.0,Diesel,Manual,2993.0,Third,5400.0
TN 48 GJ 7987,Honda,Accord,2015,95618.0,CNG,Manual,1598.0,First,3400.0
KL 34 CE 5562,Tesla,Model Y,2014,197904.0,Electric,Manual,0.0,Fourth & Above,4300.0
TS 36 OU 9402,Tesla,Model S,2013,234111.0,Electric,Manual,0.0,Third,3100.0
WB 05 UU 1130,Volkswagen,Polo,2020,102689.0,Petrol,Automatic,1799.0,Second,6700.0
MH 94 PJ 3159,BMW,5 Series,2022,68765.0,Diesel,Automatic,2497.0,Fourth & Above,21200.0
HR 79 MU 4845,BMW,3 Series,2016,81588.0,,Manual,1998.0,Second,9100.0
WB 51 TL 9903,Volkswagen,Tiguan,2025,18121.0,Hybrid,Manual,1999.0,Third,17300.0
AP 15 FO 6224,Mahindra,Scorpio,2013,137312.0,Hybrid,Automatic,1497.0,Fourth & Above,2500.0
TN 38 IQ 4524,Volkswagen,Polo,2021,78667.0,Electric,Automatic,0.0,Fourth & Above,8600.0
TN 35 PX 4587,Tata,Nexon,2020,65966.0,Electric,Automatic,0.0,Fourth & Above,7000.0
UP 79 KE 9843,Hyundai,Verna,2011,168915.0,CNG,Manual,1999.0,Second,2500.0
DL 47 RG 3572,Toyota,Innova,2010,257747.0,Hybrid,Automatic,1999.0,First,2500.0
DL 02 BA 9627,Maruti,Dzire,2017,99762.0,Hybrid,Automatic,1197.0,Fourth & Above,3000.0
DL 05 IX 3025,Honda,Amaze,2022,64822.0,Hybrid,Automatic,1197.0,First,9000.0
AP 03 AX 9875,Tata,Altroz,2014,198701.0,Petrol,Manual,1799.0,First,2500.0
TN 39 IO 4320,Audi,A6,2013,203834.0,Diesel,Automatic,3982.0,Third,3400.0
GJ 65 HM 1282,Honda,CR-V,2025,14483.0,Diesel,Automatic,1598.0,Third,14500.0
DL 58 LP 2785,Mahindra,Bolero,2021,81993.0,,Manual,0.0,First,8200.0
KL 76 HC 3315,Volkswagen,Tiguan,2020,60145.0,Petrol,Manual,1197.0,Second,8700.0
TS 20 BK 7660,Tata,Tiago,2025,17592.0,Diesel,Manual,1497.0,Fourth & Above,16100.0
KL 91 PQ 2334,Toyota,RAV4,2016,159682.0,CNG,Automatic,1999.0,Third,3100.0
KA 05 NP 3797,Honda,City,2012,168623.0,Diesel,Manual,1197.0,Second,2500.0
HR 93 VI 9560,Volkswagen,Virtus,2014,189067.0,Electric,Manual,0.0,Third,2500.0
KL 60 GK 3217,Hyundai,i20,2021,69854.0,Hybrid,Manual,1799.0,Third,7900.0
DL 26 WD 9810,Ford,Endeavour,2025,10763.0,Diesel,Automatic,2198.0,First,22400.0
DL 45 UA 4156,Mahindra,Scorpio,2013,114818.0,Diesel,Manual,1999.0,Third,2600.0
MH 14 XG 5587,Mercedes,GLC,2023,43757.0,CNG,Automatic,2497.0,Third,24400.0
